,city,lat,lon,temp_max,humidity,clouds,wind,country,description
0,broken hill,-31.95,141.43,66.2,52,1,12.75,AU,clear sky
1,tingo maria,-9.29,-76.01,71.28,83,100,2.26,PE,overcast clouds
2,biskamzha,53.45,89.53,38.23,77,100,4.7,RU,overcast clouds
3,faanui,-16.48,-151.75,79.65,83,100,18.72,PF,overcast clouds
4,kavaratti,10.57,72.64,81.72,75,89,7.05,IN,overcast clouds
5,bubaque,11.28,-15.83,82.15,80,21,9.64,GW,few clouds
6,port lincoln,-34.73,135.87,65.08,57,0,7.49,AU,clear sky
7,touho,-20.78,165.23,76.82,73,86,16.33,NC,overcast clouds
8,san cristobal,7.77,-72.22,66.99,92,84,1.95,VE,light rain
9,albany,42.6,-73.97,45.0,82,100,0.45,US,overcast clouds
10,cape town,-33.93,18.42,61.0,87,75,10.29,ZA,broken clouds
11,aksu,41.12,80.26,44.87,50,100,2.21,CN,overcast clouds
12,katsuura,35.13,140.3,66.0,68,75,3.36,JP,broken clouds
13,kita,13.03,-9.49,71.92,29,90,1.81,ML,overcast clouds
14,cabo san lucas,22.89,-109.91,77.0,61,75,6.93,MX,broken clouds
15,rikitea,-23.12,-134.97,75.52,83,100,15.48,PF,overcast clouds
16,ushuaia,-54.8,-68.3,46.4,36,75,12.75,AR,broken clouds
17,bathsheba,13.22,-59.52,77.0,94,40,20.8,BB,heavy intensity shower rain
18,hermanus,-34.42,19.23,59.0,91,98,1.01,ZA,light rain
19,san patricio,28.02,-97.52,55.99,81,90,12.75,US,overcast clouds
20,saint-denis,48.92,2.33,54.0,93,75,6.93,FR,broken clouds
21,butaritari,3.07,172.79,81.09,66,22,4.29,KI,few clouds
22,bluff,-46.6,168.33,57.99,70,45,8.99,NZ,scattered clouds
23,dikson,73.51,80.55,4.95,95,99,17.47,RU,overcast clouds
24,sitka,57.05,-135.33,46.4,81,90,6.93,US,light rain
25,tecolutilla,18.28,-93.32,78.8,83,40,2.51,MX,scattered clouds
26,mehamn,71.04,27.85,36.05,83,100,9.4,NO,overcast clouds
27,kodiak,57.79,-152.41,46.4,45,1,20.8,US,clear sky
28,pisco,-13.7,-76.22,64.0,82,0,16.11,PE,clear sky
29,ahipara,-35.17,173.17,68.95,65,25,3.44,NZ,light rain
30,saint-augustin,51.23,-58.65,30.24,90,28,5.66,CA,scattered clouds
31,atuona,-9.8,-139.03,78.67,74,0,19.13,PF,clear sky
32,punta arenas,-53.15,-70.92,42.8,75,0,26.4,CL,clear sky
33,san policarpo,12.18,125.51,84.87,70,1,4.65,PH,clear sky
34,new norfolk,-42.78,147.06,63.0,64,96,1.01,AU,overcast clouds
35,pangnirtung,66.15,-65.71,8.49,76,0,4.27,CA,clear sky
36,longyearbyen,78.22,15.64,30.2,86,75,2.24,SJ,light snow
37,kiunga,-6.12,141.29,77.43,88,100,2.55,PG,light rain
38,ponta do sol,32.67,-17.1,66.2,68,75,3.36,PT,broken clouds
39,tessalit,20.2,1.01,76.05,19,0,7.81,ML,clear sky
40,sao filipe,14.9,-24.5,80.96,73,80,3.83,CV,broken clouds
41,mar del plata,-38.0,-57.56,59.0,87,0,2.24,AR,clear sky
42,sassandra,4.95,-6.08,76.59,89,99,2.42,CI,moderate rain
43,hobart,-42.88,147.33,63.0,71,75,11.41,AU,broken clouds
44,lompoc,34.64,-120.46,62.6,77,1,8.05,US,clear sky
45,cherskiy,68.75,161.3,15.03,93,100,8.12,RU,overcast clouds
46,tual,-5.67,132.75,83.68,72,99,11.45,ID,light rain
47,civitavecchia,42.09,11.8,46.99,91,0,10.56,IT,clear sky
48,tuktoyaktuk,69.45,-133.04,10.4,92,90,12.75,CA,light snow
49,topchanchi,23.9,86.2,71.85,49,0,3.85,IN,clear sky
50,kapaa,22.08,-159.32,80.6,69,75,6.93,US,broken clouds
51,yemtsa,63.07,40.33,43.45,94,100,11.03,RU,overcast clouds
52,canavieiras,-15.68,-38.95,77.38,93,100,11.86,BR,overcast clouds
53,bethel,41.37,-73.41,50.0,77,100,1.48,US,overcast clouds
54,boundiali,9.52,-6.49,72.79,60,27,2.01,CI,scattered clouds
55,gulu,2.77,32.3,63.97,94,22,1.77,UG,few clouds
56,mahebourg,-20.41,57.7,70.0,80,8,3.0,MU,clear sky
